Date,Open,High,Low,Close,Volume
2022-01-03,4778.14,4796.64,4758.17,4796.56,3831020000
2022-01-04,4804.51,4818.62,4774.27,4793.54,4683170000
2022-01-05,4787.99,4797.7,4699.44,4700.58,4887960000
2022-01-06,4693.39,4725.01,4671.26,4696.05,4295280000
2022-01-07,4697.66,4707.95,4662.74,4677.03,4181510000
2022-01-10,4655.34,4673.02,4582.24,4670.29,4511810000
2022-01-11,4669.14,4714.13,4638.27,4713.07,4101590000
2022-01-12,4728.59,4748.83,4706.71,4726.35,4048220000
2022-01-13,4733.56,4744.13,4650.29,4659.03,4251730000
2022-01-14,4637.99,4665.13,4614.75,4662.85,4338490000
2022-01-18,4632.24,4632.24,4568.7,4577.11,4748700000
2022-01-19,4588.03,4611.55,4530.2,4532.76,4465740000
2022-01-20,4547.35,4602.11,4477.95,4482.73,4640870000
2022-01-21,4471.38,4494.52,4395.34,4397.94,5589100000
2022-01-24,4356.32,4417.35,4222.62,4410.13,6928110000
2022-01-25,4366.64,4411.01,4287.11,4356.45,5145050000
2022-01-26,4408.43,4453.23,4304.8,4349.93,5570640000
2022-01-27,4380.58,4428.74,4309.5,4326.51,5214200000
2022-01-28,4336.19,4432.72,4292.46,4431.85,5031090000
2022-01-31,4431.79,4516.89,4414.02,4515.55,5098610000
2022-02-01,4519.57,4550.49,4483.53,4546.54,4816830000
2022-02-02,4566.39,4595.31,4544.32,4589.38,4481580000
2022-02-03,4535.41,4542.88,4470.39,4477.44,4401970000
2022-02-04,4482.79,4539.66,4451.5,4500.53,4706290000
2022-02-07,4505.75,4521.86,4471.47,4483.87,4228480000
2022-02-08,4480.02,4531.32,4465.4,4521.54,4459620000
2022-02-09,4547,4590.03,4547,4587.18,4524350000
2022-02-10,4553.24,4588.92,4484.31,4504.08,5314860000
2022-02-11,4506.27,4526.33,4401.41,4418.64,5251500000
2022-02-14,4412.61,4426.22,4364.84,4401.67,4600390000
2022-02-15,4429.28,4472.77,4429.28,4471.07,4430830000
2022-02-16,4455.75,4489.55,4429.68,4475.01,4283640000
2022-02-17,4456.06,4456.06,4373.81,4380.26,4539420000
2022-02-18,4384.57,4394.6,4327.22,4348.87,4708060000
2022-02-22,4332.74,4362.12,4267.11,4304.76,5121900000
2022-02-23,4324.93,4341.51,4221.51,4225.5,4797430000
2022-02-24,4155.77,4294.73,4114.65,4288.7,6752130000
2022-02-25,4298.38,4385.34,4286.83,4384.65,5177060000
2022-02-28,4354.17,4388.84,4315.12,4373.94,6071370000
2022-03-01,4363.14,4378.45,4279.54,4306.26,5846230000
2022-03-02,4322.56,4401.48,4322.56,4386.54,5337870000
2022-03-03,4401.31,4416.78,4345.56,4363.49,5039890000
2022-03-04,4342.12,4342.12,4284.98,4328.87,5797380000
2022-03-07,4327.01,4327.01,4199.85,4201.09,6940470000
2022-03-08,4202.66,4276.94,4157.87,4170.7,7243120000
2022-03-09,4223.1,4299.4,4223.1,4277.88,5662670000
2022-03-10,4252.55,4268.28,4209.8,4259.52,4980830000
